model,split,length_bin,total,errors,error_rate
bert-base-multilingual-cased,seen_test,3,160,2,0.0125
bert-base-multilingual-cased,seen_test,2,264,0,0.0
bert-base-multilingual-cased,seen_test,4,8,0,0.0
dictabert,seen_test,3,160,3,0.01875
dictabert,seen_test,2,264,0,0.0
dictabert,seen_test,4,8,0,0.0
neodictabert,seen_test,3,160,1,0.00625
neodictabert,seen_test,2,264,1,0.003787878787878788
neodictabert,seen_test,4,8,0,0.0
xlm-roberta-base,seen_test,3,160,3,0.01875
xlm-roberta-base,seen_test,2,264,0,0.0
xlm-roberta-base,seen_test,4,8,0,0.0
bert-base-multilingual-cased,unseen_test,3,160,25,0.15625
bert-base-multilingual-cased,unseen_test,2,240,58,0.24166666666666667
bert-base-multilingual-cased,unseen_test,5+,80,80,1.0
dictabert,unseen_test,3,160,8,0.05
dictabert,unseen_test,2,240,55,0.22916666666666666
dictabert,unseen_test,5+,80,56,0.7
neodictabert,unseen_test,3,160,26,0.1625
neodictabert,unseen_test,2,240,34,0.14166666666666666
neodictabert,unseen_test,5+,80,80,1.0
xlm-roberta-base,unseen_test,3,160,27,0.16875
xlm-roberta-base,unseen_test,2,240,76,0.31666666666666665
xlm-roberta-base,unseen_test,5+,80,80,1.0
