test_set,task,model,mean,std,count,ci_low,ci_high
Seen,cls,neodictabert,0.9583331596816,0.012028280994929537,3,0.9513886284112892,0.9722222222222222
Seen,cls,dictabert,0.9412740038771056,0.0026799132391295876,3,0.9396855399948448,0.9443681318681318
Seen,cls,alephbertgimmel-base,0.9397793595386953,0.012275253416606175,3,0.9305183247196073,0.9537027113921338
Seen,cls,alephbert-base,0.9297719271726189,0.0026580869414940837,3,0.9282372799614179,0.9328412215950209
Seen,cls,xlm-roberta-base,0.911947032863901,0.013903702585838541,3,0.8981132075471697,0.9259195747234846
Seen,cls,bert-base-multilingual-cased,0.8880392212317944,0.0053710136797710155,3,0.8818374406693303,0.8911751306445129
Seen,span,neodictabert,0.9965326798161193,0.0011520616713844942,3,0.9953810623556582,0.9976851851851852
Seen,span,bert-base-multilingual-cased,0.9946165597380799,0.0023986554194132077,3,0.9919261822376009,0.9965317919075144
Seen,span,dictabert,0.9942329811749057,0.001997773057919001,3,0.9930715935334872,0.9965397923875431
Seen,span,alephbert-base,0.993844968137144,0.0029083122433129997,3,0.9907621247113164,0.9965397923875431
Seen,span,xlm-roberta-base,0.9934596127089154,0.0017598205357114887,3,0.9919261822376009,0.9953810623556582
Seen,span,alephbertgimmel-base,0.9896273499912299,0.0011520944232647277,3,0.988479262672811,0.9907834101382488
Unseen,cls,neodictabert,0.9234551434639645,0.0032282264589067774,3,0.9206666782651055,0.9269917561524655
Unseen,cls,dictabert,0.9221452323186075,0.0043929269102200635,3,0.9185941841806583,0.9270576895523166
Unseen,cls,alephbert-base,0.9096901114155727,0.006710079502126413,3,0.9020318830635881,0.9145384511831299
Unseen,cls,alephbertgimmel-base,0.9075135892868156,0.011939284596982923,3,0.8976817432385991,0.9207989578810247
Unseen,cls,xlm-roberta-base,0.9068849845276103,0.005301641184692074,3,0.9019296727946132,0.9124756876910253
Unseen,cls,bert-base-multilingual-cased,0.9034612402498291,0.007310844539755647,3,0.8958260990346552,0.9103976106029495
Unseen,span,dictabert,0.760984673740325,0.04819234989527558,3,0.7053571428571429,0.7900968783638321
Unseen,span,alephbertgimmel-base,0.7469839504267988,0.015144970788550725,3,0.7348242811501597,0.7639484978540773
Unseen,span,alephbert-base,0.6677099541354033,0.021320545013764312,3,0.6465517241379309,0.6891891891891891
Unseen,span,neodictabert,0.6612283521730395,0.07011677535366251,3,0.583148558758315,0.718816067653277
Unseen,span,xlm-roberta-base,0.6148452279661784,0.03633414616253077,3,0.5745140388768898,0.645021645021645
Unseen,span,bert-base-multilingual-cased,0.5881950045895299,0.07969714368582345,3,0.5279831045406547,0.6785714285714285
