step,epoch,f1,epoch_round,model,task,seed
500,2.314814805984497,0.9919261932373047,2.31,bert-base-multilingual-cased,span,seed_456
1000,4.629629611968994,0.994246244430542,4.63,bert-base-multilingual-cased,span,seed_456
1500,6.94444465637207,0.9965317845344543,6.94,bert-base-multilingual-cased,span,seed_456
500,2.314814805984497,0.964200496673584,2.31,neodictabert,cls,seed_42
1000,4.629629611968994,0.9720930457115173,4.63,neodictabert,cls,seed_42
1500,6.94444465637207,0.9743589758872986,6.94,neodictabert,cls,seed_42
500,2.314814805984497,0.960739016532898,2.31,neodictabert,cls,seed_456
1000,4.629629611968994,0.9769585132598877,4.63,neodictabert,cls,seed_456
1500,6.94444465637207,0.9722222089767456,6.94,neodictabert,cls,seed_456
500,4.629629611968994,0.9930555820465088,4.63,neodictabert,span,seed_456
500,2.314814805984497,0.8982300758361816,2.31,xlm-roberta-base,cls,seed_42
1000,4.629629611968994,0.9297820925712585,4.63,xlm-roberta-base,cls,seed_42
1500,6.94444465637207,0.9370629191398621,6.94,xlm-roberta-base,cls,seed_42
500,2.314814805984497,0.9111617207527161,2.31,xlm-roberta-base,cls,seed_456
1000,4.629629611968994,0.9333333373069763,4.63,xlm-roberta-base,cls,seed_456
1500,6.94444465637207,0.9238095283508301,6.94,xlm-roberta-base,cls,seed_456
500,2.314814805984497,0.9907833933830261,2.31,xlm-roberta-base,span,seed_456
1000,4.629629611968994,0.9942330121994019,4.63,xlm-roberta-base,span,seed_456
1500,6.94444465637207,0.9930875301361084,6.94,xlm-roberta-base,span,seed_456
