model,task,epoch_round,f1_mean,f1_std,n
bert-base-multilingual-cased,span,2.31,0.9919261932373047,,1
bert-base-multilingual-cased,span,4.63,0.994246244430542,,1
bert-base-multilingual-cased,span,6.94,0.9965317845344543,,1
neodictabert,cls,2.31,0.962469756603241,0.00244763608042166,2
neodictabert,cls,4.63,0.9745257794857025,0.003440405097095769,2
neodictabert,cls,6.94,0.9732905924320221,0.0015109223722670402,2
neodictabert,span,4.63,0.9930555820465088,,1
xlm-roberta-base,cls,2.31,0.9046958982944489,0.009144053812378037,2
xlm-roberta-base,cls,4.63,0.9315577149391174,0.0025111092342790663,2
xlm-roberta-base,cls,6.94,0.9304362237453461,0.009371562500639842,2
xlm-roberta-base,span,2.31,0.9907833933830261,,1
xlm-roberta-base,span,4.63,0.9942330121994019,,1
xlm-roberta-base,span,6.94,0.9930875301361084,,1
